Name,Code,Average Profit[%],Pred Accuracy[%],Tomorrow Pred
BGF,027410.KS,-0.7241303576737436,42.9,6.000000238418579
BGF리테일,282330.KS,2.02874446726678,85.7,3.0000001192092896
BNK금융지주,138930.KS,-0.7212315926010282,28.599999999999998,8.00000011920929
CJ,001040.KS,2.386313866913084,85.7,5.0
CJ CGV,079160.KS,0.9525972491346221,57.099999999999994,11.000000238418579
CJ대한통운,000120.KS,0.7491967026650592,85.7,-10.0
CJ제일제당,097950.KS,-0.2896656431821305,57.099999999999994,-8.00000011920929
DB손해보험,005830.KS,0.45668180318120744,42.9,-6.9999998807907104
DB하이텍,000990.KS,-0.4567608585698569,57.099999999999994,-6.9999998807907104
F&F,007700.KS,-2.8397330063393715,0.0,-10.0
GKL,114090.KS,-0.2715646192903822,28.599999999999998,12.000000476837158
GS,078930.KS,0.7562838515278553,57.099999999999994,8.999999761581421
GS건설,006360.KS,0.06834462011869626,71.39999999999999,10.0
GS리테일,007070.KS,-0.5782891419781262,42.9,8.999999761581421
HDC,012630.KS,-0.3196869487331537,28.599999999999998,6.9999998807907104
HDC현대산업개발,294870.KS,0.6918918269299723,57.099999999999994,-6.9999998807907104
HMM,011200.KS,-1.208623905779184,28.599999999999998,6.9999998807907104
JW중외제약,001060.KS,-0.8019130712268251,42.9,6.000000238418579
KB금융,105560.KS,-0.28045957899631785,42.9,8.00000011920929
KCC,002380.KS,-0.29009617293020706,42.9,3.0000001192092896
KG동부제철,016380.KS,-1.8069187599785024,14.299999999999999,8.00000011920929
KT,030200.KS,0.21172744507275523,42.9,4.000000059604645
KT&G,033780.KS,0.15360156036190384,42.9,8.00000011920929
LF,093050.KS,-0.36144817906768445,57.099999999999994,10.0
LG,003550.KS,-1.8050265943337087,42.9,-15.0
LG디스플레이,034220.KS,-1.7066600771285347,28.599999999999998,-8.999999761581421
LG상사,001120.KS,-0.06231390605009755,42.9,-10.0
LG생활건강,051900.KS,0.07776177006840664,42.9,-11.000000238418579
LG유플러스,032640.KS,0.39342058644233135,57.099999999999994,-8.999999761581421
LG이노텍,011070.KS,0.7140429089036766,57.099999999999994,-12.000000476837158
LG전자,066570.KS,-0.7283318941030469,57.099999999999994,-8.999999761581421
LG하우시스,108670.KS,-0.9349909696971389,28.599999999999998,-8.999999761581421
LG화학,051910.KS,0.5515815140444662,57.099999999999994,-8.999999761581421
LIG넥스원,079550.KS,0.880849715787953,85.7,8.999999761581421
LS,006260.KS,1.207246082527903,71.39999999999999,-10.0
LS ELECTRIC,010120.KS,0.9380076826249153,71.39999999999999,-6.000000238418579
NAVER,035420.KS,-1.0989572345541272,42.9,-6.9999998807907104
NH투자증권,005940.KS,0.3891373417804502,42.9,3.0000001192092896
OCI,010060.KS,-1.7814276799118711,28.599999999999998,8.00000011920929
POSCO,005490.KS,0.022776500124421974,57.099999999999994,10.0
S&T모티브,064960.KS,-1.8803902449827603,28.599999999999998,-4.000000059604645
SK,034730.KS,-0.07933704562046698,42.9,-8.999999761581421
SKC,011790.KS,0.6076740798203948,71.39999999999999,-10.0
SK네트웍스,001740.KS,-0.6279872889410312,14.299999999999999,12.000000476837158
SK디스커버리,006120.KS,0.8219583605867324,85.7,-12.000000476837158
SK이노베이션,096770.KS,0.07345680445984502,57.099999999999994,-12.999999523162842
SK케미칼,285130.KS,1.7227252151686308,100.0,-11.000000238418579
SK텔레콤,017670.KS,0.3071920413418054,71.39999999999999,-8.00000011920929
SK하이닉스,000660.KS,0.7799843707566384,57.099999999999994,-8.999999761581421
S-Oil,010950.KS,-1.1929930772576043,42.9,-5.0
SPC삼립,005610.KS,-0.15206294128668427,42.9,8.999999761581421
강원랜드,035250.KS,-1.4408394519167906,28.599999999999998,8.00000011920929
고려아연,010130.KS,1.3129241515670051,85.7,-10.0
고려제강,002240.KS,-0.469355702989528,28.599999999999998,-6.9999998807907104
금호석유,011780.KS,2.0938300459513655,71.39999999999999,-6.000000238418579
금호타이어,073240.KS,0.6771168696292907,42.9,11.000000238418579
기아차,000270.KS,-0.6170429540692292,28.599999999999998,-1.0000000149011612
기업은행,024110.KS,-0.017769424652257535,28.599999999999998,1.0000000149011612
남해화학,025860.KS,-2.1803927335967836,14.299999999999999,8.999999761581421
넥센타이어,002350.KS,0.053177528118442084,42.9,12.999999523162842
넷마블,251270.KS,-0.4726293202798759,28.599999999999998,-3.0000001192092896
녹십자,006280.KS,-0.4301531898533298,42.9,-8.00000011920929
녹십자홀딩스,005250.KS,-0.5989530958335341,42.9,-12.000000476837158
농심,004370.KS,-0.19907617350539447,42.9,2.0000000298023224
대교,019680.KS,0.42159673475581005,57.099999999999994,8.00000011920929
대림산업,000210.KS,0.0,0.0,0.0
대상,001680.KS,1.0688672994968453,57.099999999999994,-0.0
대우건설,047040.KS,-0.6723329516599882,14.299999999999999,8.00000011920929
대우조선해양,042660.KS,-0.7833083749933376,28.599999999999998,8.999999761581421
대웅제약,069620.KS,1.6630878617698652,71.39999999999999,-10.0
대한유화,006650.KS,-0.08937187994919751,57.099999999999994,-11.000000238418579
대한항공,003490.KS,0.04203755648814462,57.099999999999994,10.0
더블유게임즈,192080.KS,-0.25355148724893345,57.099999999999994,-10.0
동국제강,001230.KS,-0.8848709526422106,42.9,4.000000059604645
동서,026960.KS,0.7907637828377341,57.099999999999994,-8.999999761581421
동아쏘시오홀딩스,000640.KS,1.6193764537643618,85.7,5.0
동아에스티,170900.KS,-1.0412618295098557,14.299999999999999,12.000000476837158
동원F&B,049770.KS,0.6833854688556901,85.7,8.999999761581421
