Name,Code,Average Profit[%],Profit Day Ratio[%],Tomorrow Prediction
메리츠증권,008560.KS,0.4,0.0,-16.00000023841858
보령제약,003850.KS,7.6,0.0,32.00000047683716
부광약품,003000.KS,2.9,0.0,-1.0000000149011612
삼성물산,028260.KS,0.2,0.0,-15.0
삼성엔지니어링,028050.KS,0.2,0.0,-25.0
삼성중공업,010140.KS,0.1,0.0,32.99999952316284
삼성카드,029780.KS,0.5,0.0,25.0
삼양사,145990.KS,2.8,0.0,-6.9999998807907104
세아베스틸,001430.KS,0.1,0.0,-17.000000476837158
신세계,004170.KS,5.7,0.0,27.999999523162842
신세계인터내셔날,031430.KS,4.8,0.0,22.000000476837158
이마트,139480.KS,4.9,0.0,34.000000953674316
코오롱인더,120110.KS,1.2,0.0,29.000000953674316
풍산,103140.KS,1.8,0.0,32.00000047683716
하이트진로,000080.KS,1.0,0.0,37.00000047683716
한국전력,015760.KS,0.5,0.0,10.0
한국조선해양,009540.KS,1.4,0.0,45.0
한국타이어앤테크놀로지,161390.KS,1.7,0.0,-3.0000001192092896
한미사이언스,008930.KS,1.0,0.0,-10.0
한샘,009240.KS,0.2,0.0,-5.0
한세실업,105630.KS,1.8,0.0,-12.999999523162842
한일현대시멘트,006390.KS,0.4,0.0,1.0000000149011612
한화,000880.KS,0.3,0.0,17.000000476837158
한화솔루션,009830.KS,3.8,0.0,34.000000953674316
현대로템,064350.KS,2.2,0.0,-2.0000000298023224
현대모비스,012330.KS,1.4,0.0,-30.999999046325684
현대백화점,069960.KS,0.4,0.0,-17.999999523162842
화승엔터프라이즈,241590.KS,6.0,0.0,-32.99999952316284
휴켐스,069260.KS,0.9,0.0,34.000000953674316
BNK금융지주,138930.KS,3.5,0.0,2.0000000298023224
DB손해보험,005830.KS,0.3,0.0,-12.999999523162842
F&F,007700.KS,1.0,0.0,51.99999809265137
JW중외제약,001060.KS,3.9,0.0,-1.0000000149011612
KB금융,105560.KS,1.1,0.0,-50.999999046325684
LG디스플레이,034220.KS,2.5,0.0,27.999999523162842
LG이노텍,011070.KS,1.0,0.0,-45.0
SK,034730.KS,1.9,0.0,37.99999952316284
SK디스커버리,006120.KS,4.0,0.0,70.99999904632568
강원랜드,035250.KS,4.2,0.0,-6.000000238418579
고려제강,002240.KS,0.9,0.0,-0.0
금호석유,011780.KS,2.0,0.0,18.99999976158142
기업은행,024110.KS,1.4,0.0,15.0
녹십자홀딩스,005250.KS,2.1,0.0,-45.0
대림산업,000210.KS,0.4,0.0,46.99999809265137
대웅제약,069620.KS,4.0,0.0,17.000000476837158
대한항공,003490.KS,0.4,0.0,4.000000059604645
더블유게임즈,192080.KS,0.6,0.0,34.000000953674316
동아에스티,170900.KS,2.3,0.0,-13.999999761581421
두산인프라코어,042670.KS,0.2,0.0,51.99999809265137
롯데쇼핑,023530.KS,0.7,0.0,-1.0000000149011612
롯데지주,004990.KS,0.5,0.0,-2.0000000298023224
롯데칠성,005300.KS,4.5,0.0,11.000000238418579
롯데케미칼,011170.KS,8.7,0.0,2.0000000298023224
